YEAR,DOY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,ALLSKY_SFC_LW_DWN,GWETROOT,GWETTOP,QV2M,RH2M,PRECTOTCORR
2019,1,4.23,4.27,6.25,19.91,20.82,-18.6,-18.94,-18.77,-18.92,4.73,-16.35,-21.08,199.18,0.7,0.73,0.73,97.81,0.16
2019,2,3.88,4.24,6.3,19.76,18.28,-18.52,-18.74,-18.63,-19.63,4.6,-16.24,-20.85,210.69,0.7,0.73,0.73,99,0.19
2019,3,4.33,4.34,6.36,20.07,19.67,-19.69,-19.88,-19.79,-21.88,4.92,-17.73,-22.66,201.81,0.7,0.73,0.67,98.94,0.11
2019,4,2.92,4.28,6.42,20.18,14.98,-18.56,-18.77,-18.67,-19.97,8.27,-14.36,-22.63,242.27,0.7,0.73,0.79,98.94,0.46
2019,5,3.92,4.45,6.49,21.14,19.13,-16,-16.36,-16.18,-16.41,3.58,-13.93,-17.51,215.68,0.7,0.73,0.98,99.69,0.13
2019,6,3.54,4.41,6.56,20.45,17.57,-18.4,-18.78,-18.59,-18.52,7,-15.44,-22.44,198.37,0.7,0.73,0.79,98.06,0.08
2019,7,3.1,3.89,6.64,18.7,16.15,-14.13,-14.78,-14.46,-14.44,4.32,-12.4,-16.72,226.07,0.7,0.73,1.1,97.81,0.66
2019,8,3.38,3.87,6.72,18.66,18.09,-13.03,-13.62,-13.32,-14.91,3.87,-11.26,-15.13,229.8,0.7,0.73,1.28,98.38,2.19
2019,9,4.2,4.63,6.8,21.87,20.87,-16.68,-17.27,-16.98,-17.09,7.28,-12.59,-19.87,212.28,0.7,0.73,0.92,96.69,0.45
2019,10,4.27,4.82,6.89,22.91,21.42,-18.49,-18.82,-18.66,-19.56,4.93,-15.49,-20.42,197.05,0.7,0.73,0.73,97.94,0.08
2019,11,3.66,4.91,6.99,23.43,19.2,-19.49,-19.75,-19.62,-20.34,7.25,-15.92,-23.17,204.27,0.7,0.73,0.67,97.94,0.04
2019,12,4.39,4.9,7.09,23.61,21.22,-19.85,-20.1,-19.97,-19.99,7.19,-16.1,-23.28,204.97,0.7,0.73,0.67,98.38,0.08
2019,13,3.27,4.93,7.2,24.31,17.41,-13.05,-13.76,-13.4,-13.27,4.17,-11.5,-15.67,226.23,0.7,0.73,1.22,97.75,0.03
2019,14,3.96,4.78,7.31,22.74,19.84,-10.61,-11.63,-11.12,-10.96,4.19,-8.56,-12.76,228.58,0.7,0.73,1.53,95.56,0.02
2019,15,4.32,4.98,7.42,24.18,21.3,-12.68,-13.21,-12.95,-13.17,7.08,-9.06,-16.13,246.11,0.7,0.73,1.34,99.38,0.24
2019,16,4.76,5.32,7.54,25.52,23.1,-14.25,-15.28,-14.77,-16.93,7.22,-9.71,-16.93,223.05,0.7,0.73,1.1,94.06,0.4
2019,17,5.08,5.43,7.67,26.13,24.33,-15.19,-15.35,-15.27,-16.71,7.87,-11.1,-18.97,210.23,0.7,0.73,1.1,99.5,0.09
2019,18,3.47,5.17,7.8,25.21,18.33,-10.41,-11.1,-10.75,-10.53,3.3,-8.6,-11.89,229.62,0.7,0.73,1.59,98.56,0.05
2019,19,5.04,5.29,7.93,25.41,24.02,-11.05,-11.85,-11.45,-11.68,9.66,-5.47,-15.13,226.52,0.7,0.73,1.53,97.75,0.06
2019,20,3.73,4.73,8.07,23.77,20.38,-6.78,-7.46,-7.12,-7.24,3.2,-5.03,-8.24,258.11,0.7,0.73,2.2,98.5,1
2019,21,4.45,5.51,8.21,27.12,23.8,-10.26,-11.05,-10.66,-11.06,11.18,-7.04,-18.22,241.57,0.7,0.73,1.65,97.31,1.98
2019,22,5.78,6.05,8.36,28.69,27.29,-16.02,-16.47,-16.24,-16.4,8.9,-12.31,-21.21,194.59,0.7,0.73,0.98,98.56,0.16
2019,23,5.14,5.9,8.52,27.95,25.92,-11.12,-11.76,-11.44,-11.46,3.99,-9,-12.99,212.4,0.7,0.73,1.46,99,0.32
2019,24,5.07,5.99,8.67,28.47,25.03,-15.22,-15.93,-15.58,-15.6,16.62,-10.5,-27.12,214.68,0.7,0.73,1.1,96.81,1.09
2019,25,5.31,6.58,8.84,30.63,25.58,-24.19,-24.55,-24.37,-24.22,12.54,-16.77,-29.31,189.84,0.7,0.73,0.43,97.31,0.06
2019,26,6.08,6.11,9,28.41,27.9,-15.99,-16.69,-16.34,-16.35,11.62,-11.32,-22.95,201.17,0.7,0.73,0.98,96.38,1.82
2019,27,6.68,6.9,9.17,31.98,30.63,-26.01,-26.23,-26.12,-26.81,7.32,-21.66,-28.98,171.49,0.7,0.73,0.37,97.38,0.08
2019,28,7.04,7.03,9.35,32.83,32.31,-26.7,-26.75,-26.73,-28.01,9.14,-21.42,-30.56,172.17,0.7,0.73,0.37,99,0.06
2019,29,7.15,7.25,9.53,33.83,32.96,-23.86,-24.74,-24.3,-25.01,10.05,-18.53,-28.6,178.49,0.7,0.73,0.43,91.81,0.01
2019,30,6.5,7.29,9.71,34.54,30.95,-17.56,-19.67,-18.62,-19.3,11.52,-11.31,-22.82,204.01,0.7,0.73,0.73,83.38,0
2019,31,6.1,7.2,9.9,34.52,30.2,-19.74,-20.3,-20.02,-19.76,15.24,-14.99,-30.23,197.73,0.7,0.73,0.67,96.12,0.18
2019,32,6.22,7.43,10.1,36.19,31.46,-25.51,-26.12,-25.81,-26.34,13.47,-18.77,-32.24,191.95,0.7,0.73,0.43,94.19,0.89
2019,33,5.95,6.95,10.29,34.23,30.6,-16.53,-17.14,-16.84,-16.63,6.77,-13.09,-19.86,206.03,0.7,0.73,0.92,96.69,0.11
2019,34,6.1,6.93,10.5,33.81,32.79,-17.19,-17.75,-17.47,-17.42,6.98,-14.84,-21.81,215.55,0.7,0.73,0.85,97.06,0.83
2019,35,6.74,7.85,10.7,38.44,34.86,-23.56,-23.94,-23.75,-23.26,3.65,-22.07,-25.72,197.1,0.7,0.73,0.43,96.5,3.49
2019,36,7.15,8.32,10.91,39.86,35.66,-28.64,-28.99,-28.82,-28.49,9.76,-25.89,-35.65,180.67,0.7,0.73,0.31,96.5,5.19
2019,37,8.72,8.64,11.13,40.79,40.37,-33.95,-34.11,-34.03,-34.87,10.77,-27.01,-37.78,160.15,0.7,0.73,0.18,96.94,0.07
2019,38,8.82,8.85,11.35,41.88,40.98,-32.36,-32.31,-32.34,-35.28,10.53,-26.22,-36.75,163.37,0.7,0.73,0.18,97.12,0.04
2019,39,8.03,9.04,11.57,43.11,38.76,-29.13,-29.15,-29.14,-29.92,16.18,-21.83,-38.02,177.02,0.7,0.73,0.31,98.12,0.02
2019,40,7.11,8.52,11.79,41.97,38.96,-18.63,-19.05,-18.84,-18.88,7.58,-15.13,-22.7,209.33,0.7,0.73,0.73,97.12,2.73
2019,41,8.74,9.06,12.03,43.93,42.75,-19.42,-19.85,-19.63,-19.18,4.72,-17.39,-22.11,200.34,0.7,0.73,0.67,96.56,0.5
2019,42,8.48,9.16,12.26,45.23,42.21,-16.94,-17.37,-17.16,-17.1,5.68,-13.42,-19.1,222.1,0.7,0.73,0.85,97.94,0.96
2019,43,7,9.04,12.5,44.53,37.13,-13.27,-13.85,-13.56,-13.72,8.73,-8.7,-17.43,253.21,0.7,0.73,1.22,98.44,0.51
2019,44,9.34,9.38,12.74,46.21,45.39,-14.04,-14.46,-14.25,-14.37,6.36,-10.99,-17.36,206.55,0.7,0.73,1.16,99.62,0.12
2019,45,9.82,9.83,12.98,47.98,47.27,-14.35,-14.68,-14.51,-14.91,10.55,-9.01,-19.56,211.59,0.7,0.73,1.16,99.69,0.13
2019,46,9.15,9.84,13.23,47.76,44.88,-12.78,-13.56,-13.17,-12.95,5.46,-9.49,-14.95,220.72,0.7,0.73,1.28,97.19,0.05
2019,47,8.56,9.84,13.48,48.25,43.8,-11.1,-11.83,-11.46,-11.53,4.77,-8.68,-13.46,231.94,0.7,0.73,1.53,98.06,0.28
